 flight_date | plane_tail_number | flight1_arrival_time | flight2_departure_time | origin_city_name |    stop_city_name     | dest_city_name | total_time | total_distance 
 14/1/2017   | N515NK            | 08:28                | 21:52                  | Seattle, WA      | Las Vegas, NV         | Boston, MA     |        400 |           3248
 31/1/2018   | N971NN            | 22:10                | 23:01                  | Seattle, WA      | Phoenix, AZ           | Boston, MA     |        400 |           3407
 31/1/2017   | N523NK            | 08:15                | 21:51                  | Seattle, WA      | Las Vegas, NV         | Boston, MA     |        401 |           3248
 25/1/2017   | N3NKAA            | 14:57                | 16:12                  | Seattle, WA      | Phoenix, AZ           | Boston, MA     |        401 |           3407
 23/1/2019   | N671DN            | 21:54                | 22:55                  | Seattle, WA      | Atlanta, GA           | Boston, MA     |        402 |           3128
 13/1/2016   | N3CVAA            | 10:40                | 20:06                  | Seattle, WA      | Dallas/Fort Worth, TX | Boston, MA     |        402 |           3222
 28/1/2016   | N3JVAA            | 05:44                | 20:09                  | Seattle, WA      | Dallas/Fort Worth, TX | Boston, MA     |        402 |           3222
 30/1/2016   | N3MPAA            | 12:14                | 13:27                  | Seattle, WA      | Dallas/Fort Worth, TX | Boston, MA     |        402 |           3222
 22/1/2019   | N546UW            | 13:41                | 21:39                  | Seattle, WA      | Charlotte, NC         | Boston, MA     |        404 |           3007
 11/1/2016   | N3CXAA            | 12:36                | 15:02                  | Seattle, WA      | Dallas/Fort Worth, TX | Boston, MA     |        405 |           3222
 26/1/2019   | N3757D            | 13:46                | 14:40                  | Seattle, WA      | Las Vegas, NV         | Boston, MA     |        405 |           3248
 18/1/2016   | N3FBAA            | 19:27                | 20:19                  | Seattle, WA      | Dallas/Fort Worth, TX | Boston, MA     |        406 |           3222
 7/1/2016    | N3JKAA            | 12:31                | 13:56                  | Seattle, WA      | Dallas/Fort Worth, TX | Boston, MA     |        406 |           3222
 8/1/2017    | N525NK            | 08:17                | 22:15                  | Seattle, WA      | Las Vegas, NV         | Boston, MA     |        406 |           3248
 11/1/2017   | N3FTAA            | 15:32                | 16:19                  | Seattle, WA      | Phoenix, AZ           | Boston, MA     |        406 |           3407
 6/1/2019    | N183UW            | 13:50                | 15:04                  | Seattle, WA      | Charlotte, NC         | Boston, MA     |        407 |           3007
 9/1/2017    | N528NK            | 08:26                | 21:57                  | Seattle, WA      | Las Vegas, NV         | Boston, MA     |        407 |           3248
 3/1/2016    | N3MNAA            | 16:01                | 17:06                  | Seattle, WA      | Dallas/Fort Worth, TX | Boston, MA     |        409 |           3222
 27/1/2017   | N508NK            | 08:20                | 21:48                  | Seattle, WA      | Las Vegas, NV         | Boston, MA     |        409 |           3248
 16/1/2017   | N3GGAA            | 14:52                | 16:12                  | Seattle, WA      | Phoenix, AZ           | Boston, MA     |        410 |           3407
 10/1/2019   | N153AN            | 19:49                | 20:45                  | Seattle, WA      | Dallas/Fort Worth, TX | Boston, MA     |        411 |           3222
 8/1/2018    | N917NN            | 11:27                | 12:19                  | Seattle, WA      | Dallas/Fort Worth, TX | Boston, MA     |        411 |           3222
 17/1/2019   | N453AS            | 19:24                | 22:32                  | Seattle, WA      | San Francisco, CA     | Boston, MA     |        411 |           3383
 15/1/2017   | N505NK            | 08:33                | 21:55                  | Seattle, WA      | Las Vegas, NV         | Boston, MA     |        412 |           3248
 5/1/2019    | N283VA            | 19:14                | 20:57                  | Seattle, WA      | San Francisco, CA     | Boston, MA     |        412 |           3383
 13/1/2018   | N64809            | 05:45                | 07:30                  | Seattle, WA      | Houston, TX           | Boston, MA     |        413 |           3471
 17/1/2017   | N503NK            | 08:24                | 21:57                  | Seattle, WA      | Las Vegas, NV         | Boston, MA     |        416 |           3248
 10/1/2018   | N626VA            | 07:56                | 09:26                  | Seattle, WA      | San Francisco, CA     | Boston, MA     |        416 |           3383
 19/1/2017   | N3DXAA            | 14:51                | 16:17                  | Seattle, WA      | Phoenix, AZ           | Boston, MA     |        417 |           3407
 20/1/2017   | N3ERAA            | 15:01                | 16:43                  | Seattle, WA      | Phoenix, AZ           | Boston, MA     |        417 |           3407
 25/1/2016   | N36469            | 11:36                | 15:28                  | Seattle, WA      | Houston, TX           | Boston, MA     |        417 |           3471
 11/1/2016   | N37409            | 06:41                | 10:26                  | Seattle, WA      | Houston, TX           | Boston, MA     |        417 |           3471
 5/1/2016    | N3KMAA            | 05:53                | 07:08                  | Seattle, WA      | Dallas/Fort Worth, TX | Boston, MA     |        418 |           3222
 22/1/2016   | N3JHAA            | 12:40                | 13:36                  | Seattle, WA      | Dallas/Fort Worth, TX | Boston, MA     |        419 |           3222
 19/1/2018   | N850NN            | 22:36                | 23:18                  | Seattle, WA      | Phoenix, AZ           | Boston, MA     |        420 |           3407
 27/1/2017   | N3APAA            | 14:56                | 16:13                  | Seattle, WA      | Phoenix, AZ           | Boston, MA     |        421 |           3407
 21/1/2018   | N937AN            | 21:36                | 23:01                  | Seattle, WA      | Phoenix, AZ           | Boston, MA     |        421 |           3407
 6/1/2018    | N978AN            | 21:44                | 22:49                  | Seattle, WA      | Phoenix, AZ           | Boston, MA     |        421 |           3407
 15/1/2016   | N38403            | 11:43                | 13:04                  | Seattle, WA      | Houston, TX           | Boston, MA     |        421 |           3471
 9/1/2016    | N676AW            | 21:45                | 22:49                  | Seattle, WA      | Phoenix, AZ           | Boston, MA     |        422 |           3407
 31/1/2018   | N632JB            | 20:06                | 21:09                  | Seattle, WA      | Long Beach, CA        | Boston, MA     |        423 |           3567
 23/1/2017   | N631VA            | 20:01                | 21:30                  | Seattle, WA      | San Francisco, CA     | Boston, MA     |        424 |           3383
 20/1/2017   | N76514            | 13:53                | 14:42                  | Seattle, WA      | San Francisco, CA     | Boston, MA     |        425 |           3383
 11/1/2016   | N31412            | 11:55                | 13:01                  | Seattle, WA      | Houston, TX           | Boston, MA     |        426 |           3471
 9/1/2017    | N3LWAA            | 15:28                | 16:13                  | Seattle, WA      | Phoenix, AZ           | Boston, MA     |        427 |           3407
 22/1/2018   | N830NN            | 21:48                | 22:56                  | Seattle, WA      | Phoenix, AZ           | Boston, MA     |        427 |           3407
 2/1/2016    | N525VA            | 13:55                | 21:48                  | Seattle, WA      | Los Angeles, CA       | Boston, MA     |        428 |           3565
 22/1/2017   | N3KGAA            | 14:56                | 16:17                  | Seattle, WA      | Phoenix, AZ           | Boston, MA     |        429 |           3407
